medidor_iot,fecha_instalacion,fecha_desinstalacion,estado,tipo_medidor_id
E1:5B:AA:5E:42:15,2018-12-20,,Reacondicionado,4
87:E4:91:6C:00:C9,2022-12-19,,Operativo,4
26:74:AA:75:9E:D2,2014-09-27,,Operativo,2
96:A9:5C:17:A8:BD,2021-04-19,,Operativo,4
F5:53:AA:CD:0C:53,2022-05-11,,Reacondicionado,1
7E:20:6B:21:C7:AC,2022-07-02,,Operativo,3
71:52:FB:EB:5D:07,2017-07-01,,Operativo,3
E6:60:12:A8:DC:4A,2017-11-05,,Mantenimiento,2
23:72:89:5F:71:D9,2024-10-28,,Operativo,5
AA:45:80:C0:8C:56,2016-06-05,,Operativo,5
94:DB:2E:F7:7E:E5,2015-09-27,,Mantenimiento,1
BC:1B:05:90:1E:2D,2025-02-21,,Operativo,3
1D:AC:A4:41:CD:BF,2019-10-09,,Operativo,1
1C:A0:EB:9E:DB:61,2015-06-15,,Dañado,4
EC:DA:55:38:3B:9C,2025-09-17,,Operativo,4
B8:BF:71:5F:76:2A,2023-09-08,,Operativo,2
C5:8A:6B:80:50:1F,2018-04-27,,Dañado,1
42:C4:93:56:6B:9C,2021-12-31,,Operativo,3
37:5B:F0:77:FD:B8,2025-07-26,,Operativo,3
58:B4:2B:27:8D:93,2020-07-09,,Operativo,4
0F:19:8A:C8:05:E2,2017-09-21,,Operativo,4
AB:64:D5:56:2A:41,2021-07-17,,Operativo,3
32:64:F2:D3:BB:A6,2023-11-19,,Operativo,4
96:1D:3E:48:F8:5E,2018-01-04,,Operativo,3
21:47:96:0C:67:C5,2015-01-20,,Dañado,1
A4:0F:BE:3B:58:DE,2022-02-22,,Operativo,5
8C:0F:AE:E3:C0:3E,2025-09-07,,Reacondicionado,4
BD:2A:77:4C:C9:E4,2017-01-14,,Reacondicionado,4
1E:7A:98:2C:EF:D1,2022-12-10,,Operativo,5
15:9D:51:D0:D8:7A,2025-02-02,,Mantenimiento,2
67:AD:A0:27:F2:BE,2023-02-05,,Operativo,1
8F:5B:A9:C6:75:5D,2019-09-22,,Reacondicionado,5
D3:A6:17:DD:AE:5B,2016-11-09,,Nuevo,5
21:EF:73:8E:1F:28,2014-12-22,,Operativo,5
6A:BC:0C:1D:C2:60,2025-06-03,,Operativo,5
D4:3A:E8:19:69:0B,2025-08-25,,Operativo,4
6C:A4:14:AE:67:2D,2023-03-24,,Operativo,4
08:38:EF:B5:3E:9B,2019-02-04,,Operativo,3
CF:9D:9F:3F:F5:1E,2017-08-23,,Reacondicionado,4
91:37:9A:AC:7B:8B,2020-10-27,,Reacondicionado,3
AA:12:94:16:67:C3,2019-07-08,,Operativo,1
42:AA:FF:DD:0F:30,2021-10-08,,Reacondicionado,1
80:72:FA:BF:59:14,2015-10-20,,Dañado,5
51:51:39:09:EC:7A,2018-08-22,,Reacondicionado,4
F4:00:76:02:42:5A,2015-04-13,,Operativo,2
40:DD:46:CC:6B:10,2016-08-09,,Mantenimiento,3
AD:C3:34:45:F7:4B,2023-12-06,,Operativo,2
73:EB:5A:51:F5:40,2020-08-23,,Operativo,2
2F:5A:F6:07:78:4C,2022-07-03,,Mantenimiento,4
6B:DE:5D:EF:D5:8A,2021-04-04,,Operativo,5
BF:07:7D:99:83:F4,2025-08-22,,Operativo,2
98:9B:EA:60:EB:83,2015-12-17,,Operativo,5
25:06:98:92:25:22,2015-05-18,,Mantenimiento,5
53:E5:B4:6A:D6:39,2015-12-18,,Operativo,1
85:7E:B2:51:05:FF,2016-08-14,,Operativo,3
C1:09:EC:C0:98:E4,2023-12-24,,Dañado,4
36:4C:3D:E9:36:12,2016-01-01,,Operativo,4
0A:A1:E0:19:F1:41,2021-11-25,,Dañado,5
11:E7:C5:22:BA:21,2014-12-23,,Dañado,4
68:EC:C1:E5:42:E9,2021-03-23,,Operativo,1
A5:36:A3:B1:09:DA,2022-03-30,,Operativo,2
68:B9:F9:75:70:86,2019-09-03,,Operativo,2
31:DA:47:6C:CC:3C,2024-03-17,,Reacondicionado,3
C8:70:AD:AA:C9:6E,2025-11-29,,Operativo,4
02:C0:87:D4:0A:B4,2019-06-13,,Operativo,1
6B:B0:2B:A4:93:B5,2018-02-15,,Operativo,1
35:6E:03:CF:CC:54,2022-05-10,,Operativo,5
95:FE:1F:CA:9A:B2,2022-11-22,,Operativo,3
C7:01:AC:B1:43:A4,2021-11-27,,Operativo,3
3D:23:25:5C:5A:C3,2017-12-15,,Dañado,5
C4:3C:35:5D:63:79,2015-07-04,,Dañado,2
22:27:E3:BC:03:90,2023-01-01,,Mantenimiento,4
17:D2:DA:B7:F9:06,2020-08-14,,Nuevo,4
48:64:9C:B5:0F:06,2021-05-21,,Mantenimiento,4
50:1A:9E:6C:D7:2B,2019-09-24,,Operativo,5
44:61:8B:F3:E9:83,2017-07-10,,Operativo,4
3C:15:E7:CC:20:0B,2021-09-17,,Nuevo,5
45:F8:DD:D7:F9:0E,2021-04-21,,Operativo,3
72:38:E6:33:86:C9,2023-04-02,,Mantenimiento,2
19:B6:5C:F7:D3:4F,2015-03-04,,Operativo,4
64:D5:15:AB:E0:51,2023-03-24,,Operativo,1
3C:0B:CF:21:FB:2B,2017-11-06,,Nuevo,5
BC:D8:4B:BB:4F:62,2021-12-23,,Operativo,3
EE:84:88:09:82:21,2020-06-29,,Operativo,2
CB:93:AB:A1:14:1D,2023-03-23,,Operativo,4
EF:16:50:89:60:A8,2019-04-14,,Operativo,2
03:04:BD:8B:1B:59,2024-09-07,,Mantenimiento,5
90:27:A2:91:A7:C3,2019-09-26,,Mantenimiento,2
4D:1D:72:D1:F0:E2,2020-04-23,,Operativo,4
A2:D8:81:11:47:C2,2018-02-24,,Operativo,3
0B:58:15:3C:A4:8C,2025-05-27,,Operativo,2
C3:1A:50:1B:C0:FC,2019-07-18,,Operativo,5
03:5D:BD:F3:F7:0F,2017-01-03,,Operativo,3
06:D1:C4:9D:F8:74,2024-06-16,,Operativo,5
5E:A2:29:EA:E8:58,2022-11-05,,Operativo,3
5C:74:6E:0E:B5:DC,2020-08-12,,Operativo,4
66:96:90:18:EB:DF,2017-07-20,,Nuevo,2
BB:A5:96:22:92:5D,2014-06-26,,Operativo,3
